CPU-etcd-minikube,CPU-kalic,Memory_Cache-etcd-minikube,Memory_Cache-kalic,Memory-etcd-minikube,Memory-kalic,write-etcd-minikube,write-kalic
0.19,285.36,34.3,2222.08,72.9,205,7.78,5.83
0.196,296.77,34.4,2375.68,72.9,210,8.01,6.05
0.188,296.67,34.4,2447.36,72.9,214,7.71,6.12
0.197,296.66,34.4,1576.96,72.9,186,8.03,6.13
0.196,296.58,34.4,1689.6,72.9,190,8.04,6.23
0.196,296.6,34.5,1802.24,72.9,195,8.08,6.13
0.195,283.96,34.5,1925.12,72.9,196,7.92,5.86
0.196,281.71,34.5,1986.56,72.9,203,7.99,5.84
0.196,296.63,34.6,2160.64,72.9,206,7.97,6.16
0.195,296.64,34.6,2273.28,72.9,201,8.01,6.14
